discount,discount_rate,name,original_price,price,rating_average,review_count,quantity_sold
0,0,Quần kaki nam TRUNG NIÊN Santino chất liệu cotton cao cấp dáng xuông thoải mái sang trọng KKG595K611,535500,535500,3.7,3,17
0,0,Bộ Nỉ Thể Thao Thời Trang Thiết Kế Năng Động Trẻ Trung Cao Cấp ZERO,509000,509000,0,0,
214500,50,"Áo Thun Nam 5S Có Cổ (4 Màu) Chất Liệu Cotton Premium, Siêu Mát, Phom Dáng Trẻ Trung, (APC21014)",429000,214500,4.8,249,544
0,0,Bộ Mặc Nhà Nam Kiểu Dáng Thể Thao Phối Màu Năng Động Thời Trang ZERO,600000,600000,0,0,
0,0,"Áo khoác phao nam béo siêu nhẹ Santino mũ chùm chất liệu giữ nhiệt, chống thấm nước phom dáng vừa vặn 04",685000,685000,4,3,9
0,0,Bộ pyjama nam sizee 45-90kg trở xuống,180400,180400,0,0,
191000,58,Quần Short Nam Kaki Vicero 6 Màu Phong Cách Hàn Quốc,330000,139000,4.3,645,2659
0,0,Hàng Thái xịn Áo lót sọc bàn tay có gọng siêu đẩy MS707,65000,65000,0,0,
161000,34,Áo khoác dù nam AKUBA Cao cấp 2 lớp | 01CW011,469000,308000,4.2,5,15
0,0,set đồ bộ nam thể thao,170000,170000,0,0,
106000,49,"Combo 3 Quần sịp nam thông hơi, quần lót nam chất cotton thun lạnh mịn mát - ZQ204",215000,109000,4.3,189,767
0,0,SÉT BỘ THUN THỂ THAO SIÊU HÓT,102000,102000,0,0,
0,0,Áo sơ mi nam tím nhạt trơn dài tay Santino chất liệu sợi tre dáng slim sang trọng ASD380M106,380000,380000,0,0,2
0,0,"Bộ đũi nam dài tay, chất liệu đũi mộc cao cấp giá siêu rẻ",229000,229000,0,0,
679000,50,"Áo Khoác Kaki Nam Cao Cấp US ARMY U789, Áo Khoác Nam Kiểu Lính Có Mũ Lót Bông Cừu Siêu Ấm Phong Cách Cực Ngầu -HÀNG CHÍNH HÃNG",1358000,679000,5,99,123
0,0, combo 4 quần sịp quần lót nam thun lạnh doremon hoạt hình 4 chiều,98000,98000,5,2,9
0,0,"Áo giữ nhiệt nam cổ 3 phân phối cầu vai chính hãng Santino, chất liệu co giãn thoải mái phù hợp mọi độ tuổi TSD265P881",265000,265000,0,0,2
100000,42,"COMBO3 Quần lót nam Thông hơi nhật bản, quần sịp đúc thông hơi không đường may không viền mặc thoáng mát khử mùi QL17",239000,139000,4.5,56,149
0,0,Áo Hoodie Nỉ Bông Trơn  Unisex 5 màu (nam nữ đều mặc được),56000,56000,4.5,89,220
170000,50,"Set 4 Quần Lót Nam 5S (5BF020-05TG) Cạp 2,5cm Chất Liệu Cotton Cao Cấp",340000,170000,4.6,213,605
0,0,Quần kaki nam dài Santino chất liệu cotton cao cấp dáng slim trẻ trung sang trọng KSG525K616,380000,380000,4.8,12,25
0,0,Áo nam nữ đẹp giá rẻ - NA47,395390,395390,0,0,
71000,47,Combo 4 Quần Lót Nam cao cấp | quần xì nam | quần sịp nam | lưng nhật | vải thun lạnh 4 chiều | hiệu CM | lưng lớn | cạp to | kiểu brief | tam giác truyền thống | đồ lót nam,150000,79000,4.6,56,153
0,0,áo may ô nam dệt kim đông xuân màu tím thabn,99000,99000,0,0,
21000,21,Combo 5 Quần lót nam CITYMEN - Quần sịp nam tam giác Việt Nam (Nhiều Màu),100000,79000,4.3,559,4909
0,0,(FS) ÁO KHOÁC DÙ NAM NỮ IN CHỮ TRƯỚC NGỰC KD006,75000,75000,0,0,
133000,42,Quần Kaki Nam Co Giãn Dáng Âu Thời Trang VICERO,318000,185000,4.2,423,1145
0,0,"Áo khoác nỉ Hoodie ""AND THE"" Unisex Cực chất",99000,99000,0,0,
5000,7,Quần đùi nam mặc ngủ thun cotton 100% rất thoải mái hàng chất lượng loại quần thun nam đùi mặc ngủ màu ngẫu nhiên,69000,64000,3.5,40,274
0,0,Quần tây âu nam cao cấp,103000,103000,0,0,
59880,12,Áo Khoác Da Nam Lót Lông Cừu Cao Cấp WD007,499000,439120,4.6,59,122
0,0,"Quần short cartoon , quần short hoạt hình form unisex nam nữ",79000,79000,0,0,
180000,47,Áo hoodie thể thao cao cấp xuất khẩu freesize AKUBA nam nữ unisex dày dặn co giãn bền màu không co rút 01j0073,379000,199000,4.7,52,213
0,0,Áo Sơ Mi Nam Ngắn Tay Công Sở Thời Trang VICERO,509000,509000,0,0,
140000,35,"Áo Phông Nam Lính Mỹ (2 Màu), Chất Liệu Mềm Mại, Thoáng Mát, Chống Nhăn, Phom Dáng Xuông Trẻ Trung, Năng Động (U289)-HÀNG CHÍNH HÃNG",399000,259000,4.8,131,240
0,0,Áo Thun Quan Trọng Là Thần Thái - Thun Cotton ANL1003,49000,49000,0,0,
0,0,"Áo thun One Piece Zoro T01 , áo phông One Piece Zoro Unisex Nam Nữ có Size bé từ 25-95kg",39000,39000,4.6,101,220
0,0,QUẦN GIỮ NHIỆT THỂ THAO NAM CAO CẤP,78000,78000,0,0,
0,0,[BASIC EDITION - Áo It's You Vato9],319000,319000,5,63,84
0,0,Sơ mi trắng phối chuột // hình chụp thật,130000,130000,0,0,
190000,50,"Set 4 Quần Sịp Đùi Nam 5S (5BX020-05SD) Cạp 2,5cm Chất Liệu CottonCao Cấp",380000,190000,4.7,210,490
0,0,Bộ Quần Áo Free Fire cotton cổ tròn cực chất - Thẻ Vô Cực Mùa 2 Hip HOP,152450,152450,0,0,
0,0,Combo 3 Quần Đùi Nam,167500,167500,4.6,369,1281
0,0,ÁO NAM NỈ LEN SPORT 2 SIZE L/XL DÀNH CHO NAM 1111lt,30000,30000,0,0,
56000,49,Quần short nam big size quần sọt nam thể thao chống nóng quần đùi nam mặc nhà quần thun nam cotton 4 chiều co giãn cao cấp WSB2 ,115000,59000,4.5,104,490
6000,4,Áo Hoodie Nỉ Alan Walker Nam Nữ Dáng Rộng G130,165000,159000,5,2,6
0,0,[SPECIAL EDITION - Áo It's Real Vato9],319000,319000,5,31,40
