discount,discount_rate,name,original_price,price,rating_average,review_count,quantity_sold
0,0,Bo The Thao Nam Mua He Cao Cap Chat Thun Co Gian Tham Hut Mo Hoi Tot Thuong Hieu  ̀ ̀ Ma 1CM7,289000,289000,0,0,
0,0,Ao thun nam kieu dang Han quoc - phong cach lich lam (D2),149000,149000,5,22,55
0,0,ao phao nam sieu nhe Lining fom 50-75 kg,129000,129000,0,0,
159200,44,"Quan Bo Nam cao cap thuong hieu Chandi, chat jean co dan mau moi nhat 2021 ma NT301",358200,199000,4.6,54,123
0,0,"Áo sơ mi nam, áo sơ mi nam Han Quoc kẻ karo, kiểu dáng dẹp, trẻ trung năng dộng.",207500,207500,0,0,
0,0,"Quan jean nam chat jean xin Julido, Phoi xuoc mau moi form dep ton dang khong qua om mau QJ113",134000,134000,4.3,170,419
0,0,Ao khoac BOMBER chat da unisex Hot hoa tiet N/Y 03 TM Store,115000,115000,0,0,
82000,43,"5 Quan lot nam lung Han Quoc cotton 4 chieu cao cap , lung cao,dan hoi tot, quan sip nam thuong hieu CITYMEN ( Giao mau ngau nhien )",190000,108000,4.5,56,140
0,0,Set Bo the thao nam cao cap thoi trang di choi bien - HA70,448000,448000,0,0,
10000,10,Quan dui nam cotton mac nha iBasic SHM003,99000,89000,4.7,127,456
0,0,Ao so mi nam tay ngan in hoa tiet form om dang chat lieu cotton lua thoang mat,125000,125000,0,0,
0,0,"Ao thun Nam Nu Vonesa, ao phong Unisex Nam Nu co Size tu 25-84kg B9",25000,25000,4.2,40,165
0,0,Quan Lot Nam Khang Khuan Khu Mui Tam Giac Thong Hoi Co Gan 4 Chieu Thoai Mai Van Dong QN01,130000,130000,0,0,
170000,34,Quan Tui Hop Nam Kaki Thoi Trang Phong Cach The Thao US678 Chat Vai Kaki Cao Cap Phong Cach Linh- HANG CHINH HANG,499000,329000,5,126,214
0,0,AO SO MI NAM PHOI HOA TIET THEU PHONG CACH THOI TRANG THOI THUONG,101200,101200,0,0,
0,0,Ao hoodie nam in hinh Cun de thuong - DS40,69000,69000,4.5,83,232
0,0,Ao Bomber Nam Moi Nhat - Ao Khoac Nam Chat Day Dan Cao Cap,680000,680000,0,0,
